Device	Version	Version Props	Day	Date	UTC	Params
352000000000222	Geoptima YYY 6.7.2	{"name":"Geoptima YYY","version":"6.7.2","platform":"android","model":"GT-I8150","os":"Android 2.3.6"}	2014-07-07	2014-07-07T10:33:09+02:00	2014-07-07T08:33:09+00:00	{"deviceid":"352000000000222","mcc":"510","mnc":"01","eula":"yes","lc":"in_ID","check_global.json":"2014-07-07T10:33:09+02:00","check_510.json":"2014-07-07T10:33:13+02:00","check_51001.json":"2014-07-07T10:33:18+02:00","check_352000000000222.json":"2014-07-07T10:33:22+02:00"}
A0000040000000	XXX-Telecom 6.2.2	{"name":"XXX-Telecom","version":"6.2.2","platform":"android","model":"SCH-I879","os":"Android 4.1.2"}	2014-07-07	2014-07-07T10:33:32+02:00	2014-07-07T08:33:32+00:00	{"deviceid":"A0000040000000","mcc":"460","mnc":"03","eula":"yes","lc":"zh_CN","check_global.json":"2014-07-07T10:33:32+02:00","check_460.json":"2014-07-07T10:33:33+02:00","check_46003.json":"2014-07-07T10:33:33+02:00","check_A0000040000000.json":"2014-07-07T10:33:34+02:00"}
358888888888888	Geoptima YYY 3.2.4	{"version":"3.2.4","platform":"Research In Motion","model":"9900","os":"7.1.0.746","name":"Geoptima YYY"}	2014-07-07	2014-07-07T09:43:59+02:00	2014-07-07T07:43:59+00:00	{"deviceid":"358888888888888","mcc":"510","mnc":"01","eula":"yes","lc":"en_","check_global.json":"2014-07-07T10:33:32+02:00","check_510.json":"2014-07-07T10:33:32+02:00","check_51001.json":"2014-07-07T10:33:34+02:00","check_358888888888888.json":"2014-07-07T10:33:35+02:00"}
354010000000011	Geoptima YYY 6.7.2	{"name":"Geoptima YYY","version":"6.7.2","platform":"android","model":"Z10","os":"Android 4.2.2"}	2014-07-07	2014-07-07T10:33:39+02:00	2014-07-07T08:33:39+00:00	{"deviceid":"354010000000011","mcc":"510","mnc":"01","eula":"yes","lc":"en_GB","check_global.json":"2014-07-07T10:33:39+02:00","check_510.json":"2014-07-07T10:33:40+02:00","check_51001.json":"2014-07-07T10:33:41+02:00","check_354010000000011.json":"2014-07-07T10:33:41+02:00"}
a0000040400000	zzz-telecom 1.1.7.6 网优定制版	{"name":"zzz-telecom","version":"1.1.7.6 网优定制版","platform":"android","model":"HUAWEI C8812","os":"Android 4.0.3"}	2014-07-07	2014-07-07T10:33:40+02:00	2014-07-07T08:33:40+00:00	{"deviceid":"a0000040400000","mcc":"460","mnc":"03","eula":"yes","lc":"zh_CN","check_global.json":"2014-07-07T10:33:40+02:00","check_460.json":"2014-07-07T10:33:41+02:00","check_46003.json":"2014-07-07T10:33:42+02:00","check_a0000040400000.json":"2014-07-07T10:33:42+02:00"}
